Wall time,Step,Value
1726980643.3004756,1000,86.18465423583984
1726980841.2708662,2000,40.628623962402344
1726981039.7620857,3000,22.557296752929688
1726981238.65677,4000,14.846975326538086
1726981437.6356566,5000,10.641593933105469
1726981636.0594773,6000,7.945921897888184
1726981834.486219,7000,5.8680949211120605
1726982032.9377038,8000,4.457816123962402
1726982231.0911067,9000,3.643728733062744
1726982429.31282,10000,3.4288077354431152
1726982629.102145,11000,2.872138023376465
1726982826.8525534,12000,2.233196496963501
1726983024.771737,13000,1.9668328762054443
1726983222.5594254,14000,1.664402723312378
1726983420.3627694,15000,1.5339062213897705
1726983617.8156488,16000,1.215289831161499
1726983815.3449676,17000,1.0258761644363403
1726984012.6964295,18000,1.1272222995758057
1726984210.0180745,19000,0.8440150022506714
1726984407.270144,20000,0.7223208546638489
1726984604.259754,21000,0.6168549656867981
1726984801.4401464,22000,0.6397981643676758
1726984999.1649375,23000,0.5663328766822815
1726985196.70073,24000,0.5078615546226501
1726985394.053931,25000,0.4555055499076843
1726985590.97944,26000,0.40234196186065674
1726985787.4680164,27000,0.37502726912498474
1726985983.9574397,28000,0.36063095927238464
1726986180.0805051,29000,0.2696179449558258
1726986375.9494107,30000,0.35284188389778137
1726986572.2150514,31000,0.23190994560718536
1726986767.8414912,32000,0.21611343324184418
1726986963.900876,33000,0.19802501797676086
1726987159.5857227,34000,0.17680983245372772
1726987354.8532224,35000,0.18019628524780273
1726987549.991492,36000,0.18502193689346313
1726987749.6268585,37000,0.153563991189003
1726987950.3516564,38000,0.16771873831748962
1726988152.195221,39000,0.15252764523029327
1726988354.4878576,40000,0.1183498203754425
1726988556.6586452,41000,0.1448487937450409
1726988760.8242908,42000,0.11189748346805573
1726988967.7338212,43000,0.20161034166812897
1726989177.3371313,44000,0.08871792256832123
1726989383.6657677,45000,0.09013694524765015
1726989586.811651,46000,0.10275142639875412
1726989791.3121912,47000,0.07217191904783249
1726989995.7681177,48000,0.05615154281258583
1726990199.5714486,49000,0.1587028056383133
1726990403.1133635,50000,0.05878881365060806
1726990604.898555,51000,0.04642374813556671
1726990808.108206,52000,0.04538307711482048
1726991010.112403,53000,0.04682771861553192
1726991212.1596575,54000,0.04568874090909958
1726991416.9927793,55000,0.043410856276750565
1726991620.6509867,56000,0.042735662311315536
1726991821.2370207,57000,0.04204867035150528
1726992022.0672538,58000,0.04214027523994446
1726992222.2616048,59000,0.040543731302022934
1726992423.0294564,60000,0.04016762226819992
1726992623.3404253,61000,0.04023342579603195
1726992824.166184,62000,0.047025322914123535
1726993024.8633637,63000,0.04005254805088043
1726993224.9623358,64000,0.03917943313717842
1726993425.3101547,65000,0.044328901916742325
1726993624.8262053,66000,0.037698082625865936
1726993825.3132389,67000,0.03964976593852043
1726994026.1887283,68000,0.037084151059389114
1726994228.0760417,69000,0.03702184185385704
1726994429.3517828,70000,0.03633895888924599
1726994629.9221113,71000,0.03574540466070175
1726994829.4646306,72000,0.03733421117067337
1726995029.1330812,73000,0.03509921953082085
1726995228.178029,74000,0.03561541065573692
1726995428.2768416,75000,0.03697942569851875
1726995627.4913418,76000,0.03509225323796272
1726995826.9385457,77000,0.03498257324099541
1726996026.1930573,78000,0.03375133126974106
1726996225.257854,79000,0.033486440777778625
1726996424.7485063,80000,0.03307931497693062
1726996623.4803574,81000,0.033233217895030975
1726996822.6420681,82000,0.038224298506975174
1726997021.7169118,83000,0.032832350581884384
1726997220.9505427,84000,0.03235039487481117
1726997420.4511237,85000,0.032627664506435394
1726997618.9487886,86000,0.032457172870635986
1726997818.1051712,87000,0.035472072660923004
1726998017.0759187,88000,0.041078317910432816
1726998215.8287485,89000,0.03123088926076889
1726998415.6020222,90000,0.03201054781675339
1726998613.9152732,91000,0.03268615901470184
1726998813.0922768,92000,0.03550874441862106
1726999011.7840426,93000,0.030947839841246605
1726999210.8258147,94000,0.032013215124607086
1726999409.3868725,95000,0.030540019273757935
1726999607.7347572,96000,0.030019229277968407
1726999806.039304,97000,0.029432062059640884
1727000004.4569213,98000,0.029383376240730286
1727000202.8692057,99000,0.029288968071341515
1727000401.0606754,100000,0.03092816472053528
1727000599.0428593,101000,0.028750428929924965
1727000797.1094797,102000,0.02874683402478695
1727000995.505926,103000,0.028764668852090836
1727001202.1956398,104000,0.028559455648064613
1727001401.0636792,105000,0.02835213579237461
1727001609.6844323,106000,0.02849949710071087
1727001808.1502075,107000,0.028187990188598633
1727002015.2130663,108000,0.028969598934054375
1727002213.1761158,109000,0.028380824252963066
1727002422.4144564,110000,0.02823217399418354
1727002619.0605607,111000,0.027868464589118958
1727002820.408712,112000,0.02840200811624527
1727003017.0877795,113000,0.029149483889341354
1727003216.9016192,114000,0.027700399979948997
1727003413.123447,115000,0.027872873470187187
1727003615.464989,116000,0.027826635167002678
1727003811.797669,117000,0.0275938268750906
1727004013.3790894,118000,0.027459582313895226
1727004209.8509274,119000,0.02751588448882103
1727004410.344531,120000,0.027236081659793854
1727004606.8061297,121000,0.02727128565311432
1727004806.9728448,122000,0.027414215728640556
1727005003.1656265,123000,0.027122270315885544
1727005204.0494926,124000,0.02720753289759159
1727005400.4354007,125000,0.026964033022522926
1727005598.9915395,126000,0.028726177290081978
1727005795.9059262,127000,0.026921670883893967
1727006006.742704,128000,0.026649095118045807
1727006215.8290498,129000,0.026589790359139442
1727006435.9599113,130000,0.027035225182771683
